layer,first_mean_alert,first_cos_alert,worst_stage,worst_mean_abs,worst_cosine,input_hidden_mean,input_norm_mean,attn_output_mean,o_proj_mean,post_attn_norm_mean,gate_proj_mean,up_proj_mean,down_proj_mean,output_hidden_mean,output_hidden_cosine
14,layer14.input_hidden.bf16,none,layer14.output_hidden.bf16,0.023501014336943626,0.9999947547912598,0.022183310240507126,0.0005945677403360605,0.0011726946104317904,0.007848819717764854,0.000880187377333641,0.0035229709465056658,0.0035561295226216316,0.009781241416931152,0.023501014336943626,0.9999947547912598
15,layer15.input_hidden.bf16,none,layer15.input_hidden.bf16,0.023501014336943626,0.9999947547912598,0.023501014336943626,0.0005757299368269742,0.0007698482950218022,0.005060515366494656,0.0008577776025049388,0.0035758917219936848,0.003563822014257312,0.008931680582463741,0.023470163345336914,0.9999952912330627
16,layer16.input_hidden.bf16,none,layer16.input_hidden.bf16,0.023470163345336914,0.9999952912330627,0.023470163345336914,0.0007565394043922424,0.0008544368320144713,0.004930682014673948,0.0008186234044842422,0.0033968875650316477,0.0034013574477285147,0.007863642647862434,0.023236632347106934,0.9999944567680359
17,layer17.input_hidden.bf16,none,layer17.output_hidden.bf16,0.02442789077758789,0.9999955892562866,0.023236632347106934,0.0006462488090619445,0.0010870866244658828,0.006579544395208359,0.0008066307054832578,0.0033564958721399307,0.003372919512912631,0.008042976260185242,0.02442789077758789,0.9999955892562866
18,layer18.input_hidden.bf16,none,layer18.output_hidden.bf16,0.02488861046731472,0.999995768070221,0.02442789077758789,0.0006904457695782185,0.0007808980881236494,0.004512636456638575,0.0008076142403297126,0.0033051015343517065,0.0033863892313092947,0.007975617423653603,0.02488861046731472,0.999995768070221
19,layer19.input_hidden.bf16,none,layer19.output_hidden.bf16,0.030795622617006302,0.9999945163726807,0.02488861046731472,0.0009991757106035948,0.0016882919007912278,0.011958288960158825,0.0009897156851366162,0.00405913358554244,0.004095223266631365,0.014454895630478859,0.030795622617006302,0.9999945163726807
20,layer20.input_hidden.bf16,none,layer20.output_hidden.bf16,0.03300504758954048,0.9999955892562866,0.030795622617006302,0.00101982313208282,0.0012018068227916956,0.007213751785457134,0.0010019311448559165,0.004317789804190397,0.004183267708867788,0.01616814360022545,0.03300504758954048,0.9999955892562866
21,layer21.input_hidden.bf16,none,layer21.output_hidden.bf16,0.03706317022442818,0.9999936819076538,0.03300504758954048,0.0011005233973264694,0.0013400317402556539,0.007320626638829708,0.001113412668928504,0.0045502036809921265,0.004680987913161516,0.016634082421660423,0.03706317022442818,0.9999936819076538
22,layer22.input_hidden.bf16,none,layer22.output_hidden.bf16,0.040442656725645065,0.9999973773956299,0.03706317022442818,0.001563825411722064,0.0019663285929709673,0.01145279873162508,0.0010584075935184956,0.00412265257909894,0.004375425633043051,0.020671414211392403,0.040442656725645065,0.9999973773956299
23,layer23.input_hidden.bf16,none,layer23.output_hidden.bf16,0.05127448961138725,0.9999977946281433,0.040442656725645065,0.0013566568959504366,0.0021779388189315796,0.012765586376190186,0.001149466959759593,0.004895837511867285,0.0050595346838235855,0.032380830496549606,0.05127448961138725,0.9999977946281433
